,state_id,area_type,age_group_of_head,marital_status,male,female
655,21,Urban,50-59,Total,285925,44830
656,21,Urban,60-69,Total,153426,37062
657,21,Urban,70-79,Total,60804,18962
658,21,Urban,80+,Total,17623,5936
659,21,Urban,Age Not Stated,Total,3933,637
660,22,Total,All Ages,Total,4906004,734616
661,22,Total,Less than 20,Total,36719,13398
662,22,Total,20-29,Total,653616,37390
663,22,Total,30-39,Total,1272672,101727
664,22,Total,40-49,Total,1311473,162762
665,22,Total,50-59,Total,840549,147252
666,22,Total,60-69,Total,530180,168911
667,22,Total,70-79,Total,202592,80929
668,22,Total,80+,Total,54669,21597
669,22,Total,Age Not Stated,Total,3534,650
670,22,Rural,All Ages,Total,3802328,556375
671,22,Rural,Less than 20,Total,29847,10789
672,22,Rural,20-29,Total,532105,27993
673,22,Rural,30-39,Total,988437,76279
674,22,Rural,40-49,Total,995524,119557
675,22,Rural,50-59,Total,627963,107903
676,22,Rural,60-69,Total,420308,131913
677,22,Rural,70-79,Total,161145,64420
678,22,Rural,80+,Total,44932,17117
679,22,Rural,Age Not Stated,Total,2067,404
680,22,Urban,All Ages,Total,1103676,178241
681,22,Urban,Less than 20,Total,6872,2609
682,22,Urban,20-29,Total,121511,9397
683,22,Urban,30-39,Total,284235,25448
684,22,Urban,40-49,Total,315949,43205
685,22,Urban,50-59,Total,212586,39349
686,22,Urban,60-69,Total,109872,36998
687,22,Urban,70-79,Total,41447,16509
688,22,Urban,80+,Total,9737,4480
689,22,Urban,Age Not Stated,Total,1467,246
690,23,Total,All Ages,Total,13553764,1503764
691,23,Total,Less than 20,Total,110451,30362
692,23,Total,20-29,Total,1807089,78396
693,23,Total,30-39,Total,3543174,203401
694,23,Total,40-49,Total,3489955,316981
695,23,Total,50-59,Total,2284496,288011
696,23,Total,60-69,Total,1476981,330641
697,23,Total,70-79,Total,636912,190119
698,23,Total,80+,Total,193942,64288
699,23,Total,Age Not Stated,Total,10764,1565
700,23,Rural,All Ages,Total,10051189,1009563
701,23,Rural,Less than 20,Total,83075,20405
702,23,Rural,20-29,Total,1489206,57412
703,23,Rural,30-39,Total,2701916,143374
704,23,Rural,40-49,Total,2504499,207843
705,23,Rural,50-59,Total,1579919,181576
706,23,Rural,60-69,Total,1070726,223114
707,23,Rural,70-79,Total,470050,131413
708,23,Rural,80+,Total,146105,43658
709,23,Rural,Age Not Stated,Total,5693,768
710,23,Urban,All Ages,Total,3502575,494201
711,23,Urban,Less than 20,Total,27376,9957
712,23,Urban,20-29,Total,317883,20984
713,23,Urban,30-39,Total,841258,60027
714,23,Urban,40-49,Total,985456,109138
715,23,Urban,50-59,Total,704577,106435
716,23,Urban,60-69,Total,406255,107527
717,23,Urban,70-79,Total,166862,58706
718,23,Urban,80+,Total,47837,20630
719,23,Urban,Age Not Stated,Total,5071,797
720,24,Total,All Ages,Total,10995053,1235200
721,24,Total,Less than 20,Total,110300,29255
722,24,Total,20-29,Total,1051187,36943
723,24,Total,30-39,Total,2709421,120210
724,24,Total,40-49,Total,3045366,246981
725,24,Total,50-59,Total,2209794,267175
726,24,Total,60-69,Total,1212606,282549
727,24,Total,70-79,Total,478334,177103
728,24,Total,80+,Total,138363,69433
729,24,Total,Age Not Stated,Total,39682,5551
730,24,Rural,All Ages,Total,6096868,668345
731,24,Rural,Less than 20,Total,54274,16962
732,24,Rural,20-29,Total,538966,20197
733,24,Rural,30-39,Total,1496334,69243
734,24,Rural,40-49,Total,1705774,135895
735,24,Rural,50-59,Total,1218880,140011
736,24,Rural,60-69,Total,700913,150602
737,24,Rural,70-79,Total,280027,95619
738,24,Rural,80+,Total,81275,36827
739,24,Rural,Age Not Stated,Total,20425,2989
740,24,Urban,All Ages,Total,4898185,566855
741,24,Urban,Less than 20,Total,56026,12293
742,24,Urban,20-29,Total,512221,16746
743,24,Urban,30-39,Total,1213087,50967
744,24,Urban,40-49,Total,1339592,111086
745,24,Urban,50-59,Total,990914,127164
746,24,Urban,60-69,Total,511693,131947
747,24,Urban,70-79,Total,198307,81484
748,24,Urban,80+,Total,57088,32606
749,24,Urban,Age Not Stated,Total,19257,2562
750,25,Total,All Ages,Total,53445,7455
751,25,Total,Less than 20,Total,1715,66
752,25,Total,20-29,Total,15851,397
753,25,Total,30-39,Total,16443,1007
754,25,Total,40-49,Total,10279,1521
755,25,Total,50-59,Total,5097,1524
756,25,Total,60-69,Total,2621,1634
757,25,Total,70-79,Total,1063,955
758,25,Total,80+,Total,284,335
759,25,Total,Age Not Stated,Total,92,16
760,25,Rural,All Ages,Total,10341,2390
761,25,Rural,Less than 20,Total,133,21
762,25,Rural,20-29,Total,1563,132
763,25,Rural,30-39,Total,3105,342
764,25,Rural,40-49,Total,2706,471
765,25,Rural,50-59,Total,1596,519
766,25,Rural,60-69,Total,821,510
767,25,Rural,70-79,Total,318,286
768,25,Rural,80+,Total,82,101
769,25,Rural,Age Not Stated,Total,17,8
770,25,Urban,All Ages,Total,43104,5065
771,25,Urban,Less than 20,Total,1582,45
772,25,Urban,20-29,Total,14288,265
773,25,Urban,30-39,Total,13338,665
774,25,Urban,40-49,Total,7573,1050
775,25,Urban,50-59,Total,3501,1005
776,25,Urban,60-69,Total,1800,1124
777,25,Urban,70-79,Total,745,669
778,25,Urban,80+,Total,202,234
779,25,Urban,Age Not Stated,Total,75,8
780,26,Total,All Ages,Total,72049,4288
781,26,Total,Less than 20,Total,1524,139
782,26,Total,20-29,Total,17957,343
783,26,Total,30-39,Total,24040,786
784,26,Total,40-49,Total,15907,1132
785,26,Total,50-59,Total,7761,825
786,26,Total,60-69,Total,3600,658
787,26,Total,70-79,Total,946,316
788,26,Total,80+,Total,244,84
789,26,Total,Age Not Stated,Total,70,5
790,26,Rural,All Ages,Total,33556,2451
791,26,Rural,Less than 20,Total,695,98
792,26,Rural,20-29,Total,7685,174
793,26,Rural,30-39,Total,9831,422
794,26,Rural,40-49,Total,8045,673
795,26,Rural,50-59,Total,4493,482
796,26,Rural,60-69,Total,2135,391
797,26,Rural,70-79,Total,530,168
798,26,Rural,80+,Total,109,41
799,26,Rural,Age Not Stated,Total,33,2
800,26,Urban,All Ages,Total,38493,1837
801,26,Urban,Less than 20,Total,829,41
802,26,Urban,20-29,Total,10272,169
803,26,Urban,30-39,Total,14209,364
804,26,Urban,40-49,Total,7862,459
805,26,Urban,50-59,Total,3268,343
806,26,Urban,60-69,Total,1465,267
807,26,Urban,70-79,Total,416,148
808,26,Urban,80+,Total,135,43
809,26,Urban,Age Not Stated,Total,37,3
810,27,Total,All Ages,Total,21217873,3136214
811,27,Total,Less than 20,Total,162173,55634
812,27,Total,20-29,Total,1933661,139789
813,27,Total,30-39,Total,5069645,435951
814,27,Total,40-49,Total,5618594,693189
815,27,Total,50-59,Total,4094472,629378
816,27,Total,60-69,Total,2727072,681673
817,27,Total,70-79,Total,1209392,373703
818,27,Total,80+,Total,322283,112383
819,27,Total,Age Not Stated,Total,80581,14514
820,27,Rural,All Ages,Total,11540019,1646629
821,27,Rural,Less than 20,Total,83259,30033
822,27,Rural,20-29,Total,989937,68754
823,27,Rural,30-39,Total,2641074,237956
824,27,Rural,40-49,Total,2985890,355654
825,27,Rural,50-59,Total,2175413,298040
826,27,Rural,60-69,Total,1642062,374532
827,27,Rural,70-79,Total,781532,215950
828,27,Rural,80+,Total,201646,58881
829,27,Rural,Age Not Stated,Total,39206,6829
830,27,Urban,All Ages,Total,9677854,1489585
831,27,Urban,Less than 20,Total,78914,25601
832,27,Urban,20-29,Total,943724,71035
833,27,Urban,30-39,Total,2428571,197995
834,27,Urban,40-49,Total,2632704,337535
835,27,Urban,50-59,Total,1919059,331338
836,27,Urban,60-69,Total,1085010,307141
837,27,Urban,70-79,Total,427860,157753
838,27,Urban,80+,Total,120637,53502
839,27,Urban,Age Not Stated,Total,41375,7685
840,28,Total,All Ages,Total,17842713,3127287
841,28,Total,Less than 20,Total,76838,25420
842,28,Total,20-29,Total,1887419,138475
843,28,Total,30-39,Total,4752527,458504
844,28,Total,40-49,Total,4642653,664448
845,28,Total,50-59,Total,2994299,614643
846,28,Total,60-69,Total,2263646,774171
847,28,Total,70-79,Total,874560,331122
848,28,Total,80+,Total,221126,97706
849,28,Total,Age Not Stated,Total,129645,22798
850,28,Rural,All Ages,Total,11992596,2217455
851,28,Rural,Less than 20,Total,45078,14962
852,28,Rural,20-29,Total,1270292,93242
853,28,Rural,30-39,Total,3099325,311611
854,28,Rural,40-49,Total,3037688,440973
855,28,Rural,50-59,Total,1972445,413519
856,28,Rural,60-69,Total,1666923,592421
857,28,Rural,70-79,Total,668036,261500
858,28,Rural,80+,Total,166076,76365
859,28,Rural,Age Not Stated,Total,66733,12862
860,28,Urban,All Ages,Total,5850117,909832
861,28,Urban,Less than 20,Total,31760,10458
862,28,Urban,20-29,Total,617127,45233
863,28,Urban,30-39,Total,1653202,146893
864,28,Urban,40-49,Total,1604965,223475
865,28,Urban,50-59,Total,1021854,201124
866,28,Urban,60-69,Total,596723,181750
867,28,Urban,70-79,Total,206524,69622
868,28,Urban,80+,Total,55050,21341
869,28,Urban,Age Not Stated,Total,62912,9936
870,29,Total,All Ages,Total,11053600,2268615
871,29,Total,Less than 20,Total,58886,28037
872,29,Total,20-29,Total,832741,84337
873,29,Total,30-39,Total,2545643,266954
874,29,Total,40-49,Total,3050298,490813
875,29,Total,50-59,Total,2202550,502038
876,29,Total,60-69,Total,1540036,538174
877,29,Total,70-79,Total,633979,265373
878,29,Total,80+,Total,183320,91382
879,29,Total,Age Not Stated,Total,6147,1507
880,29,Rural,All Ages,Total,6493840,1438933
881,29,Rural,Less than 20,Total,32219,16817
882,29,Rural,20-29,Total,378355,41407
883,29,Rural,30-39,Total,1335301,159256
884,29,Rural,40-49,Total,1822275,300769
885,29,Rural,50-59,Total,1337962,309650
886,29,Rural,60-69,Total,1024652,362471
887,29,Rural,70-79,Total,435343,184287
888,29,Rural,80+,Total,124767,63437
889,29,Rural,Age Not Stated,Total,2966,839
890,29,Urban,All Ages,Total,4559760,829682
891,29,Urban,Less than 20,Total,26667,11220
892,29,Urban,20-29,Total,454386,42930
893,29,Urban,30-39,Total,1210342,107698
894,29,Urban,40-49,Total,1228023,190044
895,29,Urban,50-59,Total,864588,192388
896,29,Urban,60-69,Total,515384,175703
897,29,Urban,70-79,Total,198636,81086
898,29,Urban,80+,Total,58553,27945
899,29,Urban,Age Not Stated,Total,3181,668
900,30,Total,All Ages,Total,262842,79595
901,30,Total,Less than 20,Total,1633,728
902,30,Total,20-29,Total,17804,1791
903,30,Total,30-39,Total,49121,6612
904,30,Total,40-49,Total,69347,14040
905,30,Total,50-59,Total,59909,17236
906,30,Total,60-69,Total,42775,21900
907,30,Total,70-79,Total,17443,12797
908,30,Total,80+,Total,4444,4350
909,30,Total,Age Not Stated,Total,366,141
910,30,Rural,All Ages,Total,94568,33370
911,30,Rural,Less than 20,Total,535,268
912,30,Rural,20-29,Total,5047,600
913,30,Rural,30-39,Total,16160,2495
914,30,Rural,40-49,Total,25099,5648
915,30,Rural,50-59,Total,22192,7120
916,30,Rural,60-69,Total,16824,9739
917,30,Rural,70-79,Total,6756,5568
918,30,Rural,80+,Total,1805,1865
919,30,Rural,Age Not Stated,Total,150,67
920,30,Urban,All Ages,Total,168274,46225
921,30,Urban,Less than 20,Total,1098,460
922,30,Urban,20-29,Total,12757,1191
923,30,Urban,30-39,Total,32961,4117
924,30,Urban,40-49,Total,44248,8392
925,30,Urban,50-59,Total,37717,10116
926,30,Urban,60-69,Total,25951,12161
927,30,Urban,70-79,Total,10687,7229
928,30,Urban,80+,Total,2639,2485
929,30,Urban,Age Not Stated,Total,216,74
930,31,Total,All Ages,Total,7096,4445
931,31,Total,Less than 20,Total,69,61
932,31,Total,20-29,Total,387,198
933,31,Total,30-39,Total,1253,602
934,31,Total,40-49,Total,2011,1022
935,31,Total,50-59,Total,1916,1141
936,31,Total,60-69,Total,1057,907
937,31,Total,70-79,Total,318,396
938,31,Total,80+,Total,80,117
939,31,Total,Age Not Stated,Total,5,1
940,31,Rural,All Ages,Total,1952,755
941,31,Rural,Less than 20,Total,16,8
942,31,Rural,20-29,Total,92,44
943,31,Rural,30-39,Total,365,134
944,31,Rural,40-49,Total,521,153
945,31,Rural,50-59,Total,529,169
946,31,Rural,60-69,Total,319,166
947,31,Rural,70-79,Total,83,72
948,31,Rural,80+,Total,26,9
949,31,Rural,Age Not Stated,Total,1,0
950,31,Urban,All Ages,Total,5144,3690
951,31,Urban,Less than 20,Total,53,53
952,31,Urban,20-29,Total,295,154
953,31,Urban,30-39,Total,888,468
954,31,Urban,40-49,Total,1490,869
955,31,Urban,50-59,Total,1387,972
956,31,Urban,60-69,Total,738,741
957,31,Urban,70-79,Total,235,324
958,31,Urban,80+,Total,54,108
959,31,Urban,Age Not Stated,Total,4,1
960,32,Total,All Ages,Total,5858613,1982663
961,32,Total,Less than 20,Total,15304,10578
962,32,Total,20-29,Total,106026,50341
963,32,Total,30-39,Total,790479,272901
964,32,Total,40-49,Total,1654805,407869
965,32,Total,50-59,Total,1616597,428232
966,32,Total,60-69,Total,1056045,448735
967,32,Total,70-79,Total,468469,267214
968,32,Total,80+,Total,146692,95234
969,32,Total,Age Not Stated,Total,4196,1559
970,32,Rural,All Ages,Total,3126927,1016612
971,32,Rural,Less than 20,Total,7525,5017
972,32,Rural,20-29,Total,59465,28494
973,32,Rural,30-39,Total,439912,143815
974,32,Rural,40-49,Total,887795,213041
975,32,Rural,50-59,Total,850989,220796
976,32,Rural,60-69,Total,549527,225200
977,32,Rural,70-79,Total,247601,131536
978,32,Rural,80+,Total,82006,47931
979,32,Rural,Age Not Stated,Total,2107,782
980,32,Urban,All Ages,Total,2731686,966051
981,32,Urban,Less than 20,Total,7779,5561
982,32,Urban,20-29,Total,46561,21847
983,32,Urban,30-39,Total,350567,129086
984,32,Urban,40-49,Total,767010,194828
985,32,Urban,50-59,Total,765608,207436
986,32,Urban,60-69,Total,506518,223535
987,32,Urban,70-79,Total,220868,135678
988,32,Urban,80+,Total,64686,47303
989,32,Urban,Age Not Stated,Total,2089,777
990,33,Total,All Ages,Total,15512830,2964700
991,33,Total,Less than 20,Total,35759,12235
992,33,Total,20-29,Total,987592,82053
993,33,Total,30-39,Total,3691540,335918
994,33,Total,40-49,Total,4350324,629086
995,33,Total,50-59,Total,3205795,708643
996,33,Total,60-69,Total,2092230,717989
997,33,Total,70-79,Total,894601,361778
998,33,Total,80+,Total,244627,114297
999,33,Total,Age Not Stated,Total,10362,2701
1000,33,Rural,All Ages,Total,7846881,1665248
1001,33,Rural,Less than 20,Total,17956,6293
1002,33,Rural,20-29,Total,497975,51232
1003,33,Rural,30-39,Total,1816001,195928
1004,33,Rural,40-49,Total,2164316,342225
1005,33,Rural,50-59,Total,1591969,380143
1006,33,Rural,60-69,Total,1122401,413549
1007,33,Rural,70-79,Total,492842,209027
1008,33,Rural,80+,Total,138451,65381
1009,33,Rural,Age Not Stated,Total,4970,1470
1010,33,Urban,All Ages,Total,7665949,1299452
1011,33,Urban,Less than 20,Total,17803,5942
1012,33,Urban,20-29,Total,489617,30821
1013,33,Urban,30-39,Total,1875539,139990
1014,33,Urban,40-49,Total,2186008,286861
1015,33,Urban,50-59,Total,1613826,328500
1016,33,Urban,60-69,Total,969829,304440
1017,33,Urban,70-79,Total,401759,152751
1018,33,Urban,80+,Total,106176,48916
1019,33,Urban,Age Not Stated,Total,5392,1231
1020,34,Total,All Ages,Total,248107,53950
1021,34,Total,Less than 20,Total,607,223
1022,34,Total,20-29,Total,14823,1157
1023,34,Total,30-39,Total,63168,6826
1024,34,Total,40-49,Total,73354,12542
1025,34,Total,50-59,Total,51044,12746
1026,34,Total,60-69,Total,29155,11756
1027,34,Total,70-79,Total,12289,6545
1028,34,Total,80+,Total,3522,2127
1029,34,Total,Age Not Stated,Total,145,28
1030,34,Rural,All Ages,Total,76838,18095
1031,34,Rural,Less than 20,Total,194,56
1032,34,Rural,20-29,Total,5034,405
1033,34,Rural,30-39,Total,20280,2376
1034,34,Rural,40-49,Total,22406,4258
1035,34,Rural,50-59,Total,14860,4192
1036,34,Rural,60-69,Total,8828,3935
1037,34,Rural,70-79,Total,3912,2177
1038,34,Rural,80+,Total,1274,691
1039,34,Rural,Age Not Stated,Total,50,5
1040,34,Urban,All Ages,Total,171269,35855
1041,34,Urban,Less than 20,Total,413,167
1042,34,Urban,20-29,Total,9789,752
1043,34,Urban,30-39,Total,42888,4450
1044,34,Urban,40-49,Total,50948,8284
1045,34,Urban,50-59,Total,36184,8554
1046,34,Urban,60-69,Total,20327,7821
1047,34,Urban,70-79,Total,8377,4368
1048,34,Urban,80+,Total,2248,1436
1049,34,Urban,Age Not Stated,Total,95,23
1050,35,Total,All Ages,Total,81141,13012
1051,35,Total,Less than 20,Total,335,125
1052,35,Total,20-29,Total,7604,718
1053,35,Total,30-39,Total,21658,1976
1054,35,Total,40-49,Total,23280,3155
1055,35,Total,50-59,Total,15877,3270
1056,35,Total,60-69,Total,8265,2398
1057,35,Total,70-79,Total,3126,993
1058,35,Total,80+,Total,949,368
1059,35,Total,Age Not Stated,Total,47,9
1060,35,Rural,All Ages,Total,50110,8206
1061,35,Rural,Less than 20,Total,196,79
1062,35,Rural,20-29,Total,4480,461
1063,35,Rural,30-39,Total,12875,1213
1064,35,Rural,40-49,Total,13903,1862
1065,35,Rural,50-59,Total,9853,1995
1066,35,Rural,60-69,Total,5739,1643
1067,35,Rural,70-79,Total,2276,681
1068,35,Rural,80+,Total,769,268
1069,35,Rural,Age Not Stated,Total,19,4
1070,35,Urban,All Ages,Total,31031,4806
1071,35,Urban,Less than 20,Total,139,46
1072,35,Urban,20-29,Total,3124,257
1073,35,Urban,30-39,Total,8783,763
1074,35,Urban,40-49,Total,9377,1293
1075,35,Urban,50-59,Total,6024,1275
1076,35,Urban,60-69,Total,2526,755
1077,35,Urban,70-79,Total,850,312
1078,35,Urban,80+,Total,180,100
1079,35,Urban,Age Not Stated,Total,28,5
1080,0,Total,All Ages,Single,4829821,1265075
1081,0,Total,Less than 20,Single,1148680,639261
1082,0,Total,20-29,Single,1837379,162623
1083,0,Total,30-39,Single,759666,105971
1084,0,Total,40-49,Single,411324,119795
1085,0,Total,50-59,Single,250328,106287
1086,0,Total,60-69,Single,177112,76526
1087,0,Total,70-79,Single,82582,30548
1088,0,Total,80+,Single,38046,9939
1089,0,Total,Age Not Stated,Single,124704,14125
1090,0,Rural,All Ages,Single,2884651,759690
1091,0,Rural,Less than 20,Single,801796,465986
1092,0,Rural,20-29,Single,964244,66746
1093,0,Rural,30-39,Single,437738,53502
1094,0,Rural,40-49,Single,255373,64392
1095,0,Rural,50-59,Single,152432,49460
1096,0,Rural,60-69,Single,117327,34203
1097,0,Rural,70-79,Single,54125,12405
1098,0,Rural,80+,Single,24011,4228
1099,0,Rural,Age Not Stated,Single,77605,8768
1100,0,Urban,All Ages,Single,1945170,505385
1101,0,Urban,Less than 20,Single,346884,173275
1102,0,Urban,20-29,Single,873135,95877
1103,0,Urban,30-39,Single,321928,52469
1104,0,Urban,40-49,Single,155951,55403
1105,0,Urban,50-59,Single,97896,56827
1106,0,Urban,60-69,Single,59785,42323
1107,0,Urban,70-79,Single,28457,18143
1108,0,Urban,80+,Single,14035,5711
1109,0,Urban,Age Not Stated,Single,47099,5357
1110,1,Total,All Ages,Single,49549,12342
1111,1,Total,Less than 20,Single,13834,8857
1112,1,Total,20-29,Single,17579,1524
1113,1,Total,30-39,Single,8771,582
1114,1,Total,40-49,Single,3776,452
1115,1,Total,50-59,Single,2169,375
1116,1,Total,60-69,Single,1734,297
1117,1,Total,70-79,Single,952,155
1118,1,Total,80+,Single,452,63
1119,1,Total,Age Not Stated,Single,282,37
1120,1,Rural,All Ages,Single,36080,8948
1121,1,Rural,Less than 20,Single,10653,6763
1122,1,Rural,20-29,Single,13156,936
1123,1,Rural,30-39,Single,5798,352
1124,1,Rural,40-49,Single,2523,294
1125,1,Rural,50-59,Single,1487,227
1126,1,Rural,60-69,Single,1237,194
1127,1,Rural,70-79,Single,694,115
1128,1,Rural,80+,Single,345,42
1129,1,Rural,Age Not Stated,Single,187,25
1130,1,Urban,All Ages,Single,13469,3394
1131,1,Urban,Less than 20,Single,3181,2094
1132,1,Urban,20-29,Single,4423,588
1133,1,Urban,30-39,Single,2973,230
1134,1,Urban,40-49,Single,1253,158
1135,1,Urban,50-59,Single,682,148
1136,1,Urban,60-69,Single,497,103
1137,1,Urban,70-79,Single,258,40
1138,1,Urban,80+,Single,107,21
1139,1,Urban,Age Not Stated,Single,95,12
1140,2,Total,All Ages,Single,28827,7633
1141,2,Total,Less than 20,Single,4090,2319
1142,2,Total,20-29,Single,13043,2290
1143,2,Total,30-39,Single,4297,831
1144,2,Total,40-49,Single,2462,734
1145,2,Total,50-59,Single,1930,640
1146,2,Total,60-69,Single,1539,474
1147,2,Total,70-79,Single,909,245
1148,2,Total,80+,Single,425,72
1149,2,Total,Age Not Stated,Single,132,28
1150,2,Rural,All Ages,Single,20002,4950
1151,2,Rural,Less than 20,Single,3038,1928
1152,2,Rural,20-29,Single,7534,952
1153,2,Rural,30-39,Single,3153,481
1154,2,Rural,40-49,Single,2061,526
1155,2,Rural,50-59,Single,1626,466
1156,2,Rural,60-69,Single,1339,338
1157,2,Rural,70-79,Single,783,181
1158,2,Rural,80+,Single,369,57
1159,2,Rural,Age Not Stated,Single,99,21
1160,2,Urban,All Ages,Single,8825,2683
1161,2,Urban,Less than 20,Single,1052,391
1162,2,Urban,20-29,Single,5509,1338
1163,2,Urban,30-39,Single,1144,350
1164,2,Urban,40-49,Single,401,208
1165,2,Urban,50-59,Single,304,174
1166,2,Urban,60-69,Single,200,136
1167,2,Urban,70-79,Single,126,64
1168,2,Urban,80+,Single,56,15
1169,2,Urban,Age Not Stated,Single,33,7
1170,3,Total,All Ages,Single,92170,18984
1171,3,Total,Less than 20,Single,21539,11623
1172,3,Total,20-29,Single,29559,2234
1173,3,Total,30-39,Single,11210,945
1174,3,Total,40-49,Single,8964,1067
